lme,spatialstrat,temporalstrat,year,age,psc_n,samples_n,reporting_group,sector,mean,sd,lower,median,upper,shrink,notes
Bering Sea,Cluster 2,Early,2013,all,,,Up/Mid Yukon,NA,0.065592704,,0.024543237,,0.118631957,,RubiasFillIn
Bering Sea,Cluster 2,Early,2013,all,,,Western AK,NA,0.175304629,,0.104076538,,0.255738524,,RubiasFillIn
Bering Sea,Cluster 2,Late,2013,all,,,E GOA/PNW,NA,0.094557271,,0.050812257,,0.150127759,,RubiasFillIn
Bering Sea,Cluster 2,Late,2013,all,,,SE Asia,NA,0.103609827,,0.057656906,,0.159502423,,RubiasFillIn
Bering Sea,Cluster 2,Late,2013,all,,,NE Asia,NA,0.585692506,,0.492704063,,0.6755476,,RubiasFillIn
Bering Sea,Cluster 2,Late,2013,all,,,SW Alaska,NA,0.018910259,,2.44E-20,,0.055906906,,RubiasFillIn
Bering Sea,Cluster 2,Late,2013,all,,,Up/Mid Yukon,NA,0.035493831,,1.01E-18,,0.091717848,,RubiasFillIn
Bering Sea,Cluster 2,Late,2013,all,,,Western AK,NA,0.161736306,,0.085918438,,0.253757679,,RubiasFillIn
Bering Sea,Cluster 3,Early,2013,all,,,E GOA/PNW,NA,0.057865435,,0.016315164,,0.121453768,,RubiasFillIn
Bering Sea,Cluster 3,Early,2013,all,,,SE Asia,NA,0.575408377,,0.463808395,,0.682342044,,RubiasFillIn
Bering Sea,Cluster 3,Early,2013,all,,,NE Asia,NA,0.189390353,,0.104171735,,0.291216466,,RubiasFillIn
Bering Sea,Cluster 3,Early,2013,all,,,SW Alaska,NA,0.000928435,,1.66E-38,,0.011054047,,RubiasFillIn
Bering Sea,Cluster 3,Early,2013,all,,,Up/Mid Yukon,NA,0.015637589,,1.08E-23,,0.081966823,,RubiasFillIn
Bering Sea,Cluster 3,Early,2013,all,,,Western AK,NA,0.160769811,,0.077044901,,0.256493205,,RubiasFillIn
Bering Sea,Cluster 3,Late,2013,all,,,E GOA/PNW,NA,0.113702858,,0.086271236,,0.143835173,,RubiasFillIn
Bering Sea,Cluster 3,Late,2013,all,,,SE Asia,NA,0.123338944,,0.097158452,,0.152183779,,RubiasFillIn
Bering Sea,Cluster 3,Late,2013,all,,,NE Asia,NA,0.467842023,,0.420918545,,0.514542229,,RubiasFillIn
Bering Sea,Cluster 3,Late,2013,all,,,SW Alaska,NA,0.00021907,,8.09E-39,,0.002600987,,RubiasFillIn
Bering Sea,Cluster 3,Late,2013,all,,,Up/Mid Yukon,NA,0.09834188,,0.072676268,,0.126478979,,RubiasFillIn
Bering Sea,Cluster 3,Late,2013,all,,,Western AK,NA,0.196555226,,0.157996283,,0.237632055,,RubiasFillIn
Bering Sea,Cluster 4,Late,2013,all,,,E GOA/PNW,NA,0.072971888,,0.030109945,,0.131060766,,RubiasFillIn
Bering Sea,Cluster 4,Late,2013,all,,,SE Asia,NA,0.525778569,,0.430879744,,0.620163961,,RubiasFillIn
Bering Sea,Cluster 4,Late,2013,all,,,NE Asia,NA,0.323256574,,0.230771066,,0.42346327,,RubiasFillIn
Bering Sea,Cluster 4,Late,2013,all,,,SW Alaska,NA,0.001484089,,3.09E-38,,0.017531069,,RubiasFillIn
Bering Sea,Cluster 4,Late,2013,all,,,Up/Mid Yukon,NA,0.007091838,,1.55E-24,,0.038309854,,RubiasFillIn
Bering Sea,Cluster 4,Late,2013,all,,,Western AK,NA,0.069417042,,0.023288972,,0.128773271,,RubiasFillIn
Bering Sea,Cluster 1,Early,2014,all,,,E GOA/PNW,NA,0.218720977,,0.16699576,,0.274225972,,RubiasFillIn
Bering Sea,Cluster 1,Early,2014,all,,,SE Asia,NA,0.14253478,,0.102324068,,0.187359453,,RubiasFillIn
Bering Sea,Cluster 1,Early,2014,all,,,NE Asia,NA,0.371150813,,0.304585755,,0.440878825,,RubiasFillIn
Bering Sea,Cluster 1,Early,2014,all,,,SW Alaska,NA,0.019190749,,0.000597947,,0.049290318,,RubiasFillIn
Bering Sea,Cluster 1,Early,2014,all,,,Up/Mid Yukon,NA,0.020735004,,0.004105464,,0.045145319,,RubiasFillIn
Bering Sea,Cluster 1,Early,2014,all,,,Western AK,NA,0.227667677,,0.172104024,,0.287584346,,RubiasFillIn
Bering Sea,Cluster 1,Late,2014,all,,,E GOA/PNW,NA,0.3885245,,0.320789861,,0.45795292,,RubiasFillIn
Bering Sea,Cluster 1,Late,2014,all,,,SE Asia,NA,0.041821134,,0.018189581,,0.073318895,,RubiasFillIn
Bering Sea,Cluster 1,Late,2014,all,,,NE Asia,NA,0.31852095,,0.249266592,,0.390753056,,RubiasFillIn
Bering Sea,Cluster 1,Late,2014,all,,,SW Alaska,NA,0.017897252,,1.43E-15,,0.049384471,,RubiasFillIn
Bering Sea,Cluster 1,Late,2014,all,,,Up/Mid Yukon,NA,0.021125748,,0.001548432,,0.060234095,,RubiasFillIn
Bering Sea,Cluster 1,Late,2014,all,,,Western AK,NA,0.212110417,,0.151636782,,0.275974003,,RubiasFillIn
Bering Sea,Cluster 2,Early,2014,all,,,E GOA/PNW,NA,0.229195806,,0.177085871,,0.285366011,,RubiasFillIn
Bering Sea,Cluster 2,Early,2014,all,,,SE Asia,NA,0.107265665,,0.0698934,,0.150936098,,RubiasFillIn
Bering Sea,Cluster 2,Early,2014,all,,,NE Asia,NA,0.405740608,,0.337327717,,0.475050576,,RubiasFillIn
Bering Sea,Cluster 2,Early,2014,all,,,SW Alaska,NA,0.000421353,,1.32E-38,,0.005086079,,RubiasFillIn
Bering Sea,Cluster 2,Early,2014,all,,,Up/Mid Yukon,NA,0.008606399,,4.98E-18,,0.033723865,,RubiasFillIn
Bering Sea,Cluster 2,Early,2014,all,,,Western AK,NA,0.248770168,,0.191010012,,0.3102036,,RubiasFillIn
Bering Sea,Cluster 2,Late,2014,all,,,E GOA/PNW,NA,0.301493232,,0.206930389,,0.407308582,,RubiasFillIn
Bering Sea,Cluster 2,Late,2014,all,,,SE Asia,NA,0.073805903,,0.025872756,,0.140764693,,RubiasFillIn
Bering Sea,Cluster 2,Late,2014,all,,,NE Asia,NA,0.428961352,,0.309342375,,0.55157478,,RubiasFillIn
Bering Sea,Cluster 2,Late,2014,all,,,SW Alaska,NA,0.001047739,,2.40E-38,,0.011709956,,RubiasFillIn
Bering Sea,Cluster 2,Late,2014,all,,,Up/Mid Yukon,NA,0.018179224,,5.51E-13,,0.063537623,,RubiasFillIn
Bering Sea,Cluster 2,Late,2014,all,,,Western AK,NA,0.176512551,,0.088225906,,0.282582409,,RubiasFillIn
Bering Sea,Cluster 3,Early,2014,all,,,E GOA/PNW,NA,0.138426539,,0.072422835,,0.221102293,,RubiasFillIn
Bering Sea,Cluster 3,Early,2014,all,,,SE Asia,NA,0.329917755,,0.230122054,,0.436091232,,RubiasFillIn
Bering Sea,Cluster 3,Early,2014,all,,,NE Asia,NA,0.369648836,,0.259069992,,0.486167628,,RubiasFillIn
Bering Sea,Cluster 3,Early,2014,all,,,SW Alaska,NA,0.001043645,,2.34E-38,,0.011992666,,RubiasFillIn
Bering Sea,Cluster 3,Early,2014,all,,,Up/Mid Yukon,NA,0.009726865,,9.35E-21,,0.043665059,,RubiasFillIn
Bering Sea,Cluster 3,Early,2014,all,,,Western AK,NA,0.15123636,,0.075165458,,0.244312263,,RubiasFillIn
Bering Sea,Cluster 3,Late,2014,all,,,E GOA/PNW,NA,0.306345435,,0.248265057,,0.367156826,,RubiasFillIn
Bering Sea,Cluster 3,Late,2014,all,,,SE Asia,NA,0.131673332,,0.092249975,,0.176116602,,RubiasFillIn
Bering Sea,Cluster 3,Late,2014,all,,,NE Asia,NA,0.400242611,,0.331494256,,0.469733281,,RubiasFillIn
Bering Sea,Cluster 3,Late,2014,all,,,SW Alaska,NA,0.000707914,,9.37E-39,,0.008194059,,RubiasFillIn
Bering Sea,Cluster 3,Late,2014,all,,,Up/Mid Yukon,NA,0.030239243,,0.010614818,,0.057729446,,RubiasFillIn
Bering Sea,Cluster 3,Late,2014,all,,,Western AK,NA,0.130791465,,0.083947343,,0.183640529,,RubiasFillIn
Bering Sea,Cluster 4,Late,2014,all,,,E GOA/PNW,NA,0.078144589,,0.040483439,,0.12572678,,RubiasFillIn
Bering Sea,Cluster 4,Late,2014,all,,,SE Asia,NA,0.41536313,,0.343560324,,0.488543537,,RubiasFillIn
Bering Sea,Cluster 4,Late,2014,all,,,NE Asia,NA,0.426226137,,0.345967773,,0.506872382,,RubiasFillIn
Bering Sea,Cluster 4,Late,2014,all,,,SW Alaska,NA,0.00056355,,1.06E-38,,0.006793269,,RubiasFillIn
Bering Sea,Cluster 4,Late,2014,all,,,Up/Mid Yukon,NA,0.002639742,,2.41E-26,,0.016177085,,RubiasFillIn
Bering Sea,Cluster 4,Late,2014,all,,,Western AK,NA,0.077062851,,0.037440911,,0.126946565,,RubiasFillIn
Bering Sea,NMFS 517,Early,2017,all,,,E GOA/PNW,NA,0.087766447,,0.068320401,,0.108814576,,RubiasFillIn
Bering Sea,NMFS 517,Early,2017,all,,,SE Asia,NA,0.169845783,,0.146616227,,0.194409411,,RubiasFillIn
Bering Sea,NMFS 517,Early,2017,all,,,NE Asia,NA,0.483776255,,0.447950108,,0.51942167,,RubiasFillIn
Bering Sea,NMFS 517,Early,2017,all,,,SW Alaska,NA,0.027172233,,0.015970762,,0.040546969,,RubiasFillIn
Bering Sea,NMFS 517,Early,2017,all,,,Up/Mid Yukon,NA,0.057568777,,0.040460543,,0.077129255,,RubiasFillIn
Bering Sea,NMFS 517,Early,2017,all,,,Western AK,NA,0.173870504,,0.145137159,,0.203223147,,RubiasFillIn
Bering Sea,NMFS 517,Early,2018,all,,,E GOA/PNW,NA,0.088909559,,0.066934166,,0.112950612,,RubiasFillIn
Bering Sea,NMFS 517,Early,2018,all,,,SE Asia,NA,0.173088828,,0.146571072,,0.200886418,,RubiasFillIn
Bering Sea,NMFS 517,Early,2018,all,,,NE Asia,NA,0.45738942,,0.416786733,,0.49829973,,RubiasFillIn
Bering Sea,NMFS 517,Early,2018,all,,,SW Alaska,NA,0.010507336,,0.002498194,,0.025323835,,RubiasFillIn
Bering Sea,NMFS 517,Early,2018,all,,,Up/Mid Yukon,NA,0.047383386,,0.030471517,,0.066665638,,RubiasFillIn
Bering Sea,NMFS 517,Early,2018,all,,,Western AK,NA,0.222721471,,0.187584073,,0.259196124,,RubiasFillIn
