lme,spatialstrat,temporalstrat,year,age,psc_n,samples_n,reporting_group,sector,mean,sd,lower,median,upper,shrink,notes
Bering Sea,NMFS 521,Late,2014,all,221,,SE Asia,NA,0.3309,0.0337,0.2667,0.3305,0.3978,1,"NMFS 521, 523, 524"
Bering Sea,NMFS 521,Late,2014,all,221,,SW Alaska,NA,0.0089,0.0114,0,0.0039,0.0391,1,"NMFS 521, 523, 524"
Bering Sea,NMFS 521,Late,2014,all,221,,Up/Mid Yukon,NA,0.0156,0.0095,0.0026,0.0138,0.0393,1,"NMFS 521, 523, 524"
Bering Sea,Western,all,2014,all,580,,Western AK,NA,0.1101,0.0172,0.0784,0.1095,0.1457,1,
Bering Sea,Western,all,2014,all,580,,E GOA/PNW,NA,0.1631,0.0176,0.13,0.1627,0.1985,1,
Bering Sea,Western,all,2014,all,580,,NE Asia,NA,0.3757,0.0254,0.3264,0.3752,0.4261,1,
Bering Sea,Western,all,2014,all,580,,SE Asia,NA,0.3259,0.021,0.2852,0.3257,0.3674,1,
Bering Sea,Western,all,2014,all,580,,SW Alaska,NA,0.0073,0.0072,0,0.0056,0.0245,1,
Bering Sea,Western,all,2014,all,580,,Up/Mid Yukon,NA,0.0179,0.007,0.0067,0.0171,0.0337,1,
Bering Sea,all,A season,2015,all,4647,142,E GOA/PNW,NA,0.47,0.047,0.38,0.47,0.562,1,
Bering Sea,all,A season,2015,all,4647,142,NE Asia,NA,0.41,0.05,0.314,0.409,0.506,1,
Bering Sea,all,A season,2015,all,4647,142,SE Asia,NA,0.032,0.019,0.005,0.029,0.077,1,
Bering Sea,all,A season,2015,all,4647,142,SW Alaska,NA,0.006,0.01,0,0.001,0.034,1,
Bering Sea,all,A season,2015,all,4647,142,Up/Mid Yukon,NA,0.019,0.015,0,0.016,0.056,1,
Bering Sea,all,A season,2015,all,4647,142,Western AK,NA,0.063,0.025,0.021,0.061,0.119,1,
GOA,all,all,2015,all,1823,131,E GOA/PNW,NA,0.882,0.032,0.814,0.884,0.937,1,
GOA,all,all,2015,all,1823,131,NE Asia,NA,0.05,0.029,0.003,0.047,0.115,1,
GOA,all,all,2015,all,1823,131,SE Asia,NA,0.033,0.017,0.008,0.03,0.072,1,
GOA,all,all,2015,all,1823,131,SW Alaska,NA,0.004,0.009,0,0,0.03,1,
GOA,all,all,2015,all,1823,131,Up/Mid Yukon,NA,0.002,0.005,0,0,0.017,1,
GOA,all,all,2015,all,1823,131,Western AK,NA,0.03,0.02,0,0.027,0.075,1,
Bering Sea,all,B season,2015,all,232039,1836,E GOA/PNW,NA,0.514,0.013,0.489,0.514,0.54,1,
Bering Sea,all,B season,2015,all,232039,1836,NE Asia,NA,0.175,0.012,0.152,0.175,0.198,1,
Bering Sea,all,B season,2015,all,232039,1836,SE Asia,NA,0.097,0.008,0.083,0.096,0.112,1,
Bering Sea,all,B season,2015,all,232039,1836,SW Alaska,NA,0.016,0.005,0.007,0.016,0.027,1,
Bering Sea,all,B season,2015,all,232039,1836,Up/Mid Yukon,NA,0.039,0.007,0.026,0.039,0.054,1,
Bering Sea,all,B season,2015,all,232039,1836,Western AK,NA,0.16,0.011,0.138,0.16,0.182,1,
Bering Sea,all,Early,2015,all,19138,162,E GOA/PNW,NA,0.129,0.028,0.079,0.127,0.187,1,
Bering Sea,all,Early,2015,all,19138,162,NE Asia,NA,0.159,0.036,0.094,0.158,0.233,1,
Bering Sea,all,Early,2015,all,19138,162,SE Asia,NA,0.414,0.041,0.335,0.414,0.497,1,
Bering Sea,all,Early,2015,all,19138,162,SW Alaska,NA,0.011,0.01,0,0.008,0.038,1,
Bering Sea,all,Early,2015,all,19138,162,Up/Mid Yukon,NA,0.03,0.017,0.003,0.028,0.068,1,
Bering Sea,all,Early,2015,all,19138,162,Western AK,NA,0.258,0.039,0.186,0.256,0.337,1,
Bering Sea,all,Late,2015,all,90021,715,E GOA/PNW,NA,0.552,0.021,0.511,0.552,0.593,1,
Bering Sea,all,Late,2015,all,90021,715,NE Asia,NA,0.171,0.019,0.136,0.171,0.209,1,
Bering Sea,all,Late,2015,all,90021,715,SE Asia,NA,0.071,0.011,0.052,0.07,0.093,1,
Bering Sea,all,Late,2015,all,90021,715,SW Alaska,NA,0.02,0.008,0.005,0.019,0.037,1,
Bering Sea,all,Late,2015,all,90021,715,Up/Mid Yukon,NA,0.048,0.012,0.026,0.047,0.072,1,
Bering Sea,all,Late,2015,all,90021,715,Western AK,NA,0.138,0.018,0.105,0.138,0.173,1,
Bering Sea,all,Middle,2015,all,122880,959,E GOA/PNW,NA,0.553,0.018,0.518,0.553,0.588,1,
Bering Sea,all,Middle,2015,all,122880,959,NE Asia,NA,0.175,0.017,0.144,0.175,0.209,1,
Bering Sea,all,Middle,2015,all,122880,959,SE Asia,NA,0.059,0.009,0.043,0.059,0.077,1,
Bering Sea,all,Middle,2015,all,122880,959,SW Alaska,NA,0.014,0.005,0.005,0.013,0.026,1,
Bering Sea,all,Middle,2015,all,122880,959,Up/Mid Yukon,NA,0.031,0.008,0.017,0.03,0.047,1,
Bering Sea,all,Middle,2015,all,122880,959,Western AK,NA,0.168,0.015,0.139,0.168,0.199,1,
Bering Sea,Cluster 1,all,2015,all,,1162,E GOA/PNW,NA,0.594,0.016,0.562,0.594,0.626,1,
Bering Sea,Cluster 1,all,2015,all,,1162,NE Asia,NA,0.113,0.013,0.089,0.112,0.138,1,
Bering Sea,Cluster 1,all,2015,all,,1162,SE Asia,NA,0.027,0.005,0.017,0.026,0.038,1,
Bering Sea,Cluster 1,all,2015,all,,1162,SW Alaska,NA,0.026,0.007,0.013,0.025,0.04,1,
Bering Sea,Cluster 1,all,2015,all,,1162,Up/Mid Yukon,NA,0.043,0.009,0.026,0.043,0.062,1,
Bering Sea,Cluster 1,all,2015,all,,1162,Western AK,NA,0.198,0.015,0.17,0.197,0.227,1,
Bering Sea,Cluster 1,Early,2015,all,25417,213,E GOA/PNW,NA,0.435,0.037,0.363,0.435,0.508,1,
Bering Sea,Cluster 1,Early,2015,all,25417,213,NE Asia,NA,0.18,0.032,0.12,0.178,0.246,1,
Bering Sea,Cluster 1,Early,2015,all,25417,213,SE Asia,NA,0.058,0.018,0.028,0.056,0.097,1,
Bering Sea,Cluster 1,Early,2015,all,25417,213,SW Alaska,NA,0.008,0.01,0,0.004,0.036,1,
Bering Sea,Cluster 1,Early,2015,all,25417,213,Up/Mid Yukon,NA,0.024,0.016,0.001,0.021,0.064,1,
Bering Sea,Cluster 1,Early,2015,all,25417,213,Western AK,NA,0.296,0.036,0.226,0.295,0.368,1,
Bering Sea,Cluster 1,Late,2015,all,118231,949,E GOA/PNW,NA,0.632,0.018,0.597,0.632,0.666,1,
Bering Sea,Cluster 1,Late,2015,all,118231,949,NE Asia,NA,0.1,0.014,0.075,0.1,0.128,1,
Bering Sea,Cluster 1,Late,2015,all,118231,949,SE Asia,NA,0.02,0.005,0.011,0.02,0.031,1,
Bering Sea,Cluster 1,Late,2015,all,118231,949,SW Alaska,NA,0.026,0.008,0.012,0.025,0.041,1,
Bering Sea,Cluster 1,Late,2015,all,118231,949,Up/Mid Yukon,NA,0.047,0.01,0.027,0.046,0.068,1,
Bering Sea,Cluster 1,Late,2015,all,118231,949,Western AK,NA,0.176,0.016,0.146,0.176,0.207,1,
Bering Sea,Cluster 2,all,2015,all,,381,Western AK,NA,0.095,0.019,0.06,0.094,0.135,1,
Bering Sea,Cluster 2,all,2015,all,,381,E GOA/PNW,NA,0.424,0.028,0.37,0.423,0.479,1,
Bering Sea,Cluster 2,all,2015,all,,381,NE Asia,NA,0.31,0.03,0.252,0.309,0.37,1,
Bering Sea,Cluster 2,all,2015,all,,381,SE Asia,NA,0.133,0.019,0.098,0.132,0.173,1,
Bering Sea,Cluster 2,all,2015,all,,381,SW Alaska,NA,0.021,0.01,0.004,0.019,0.044,1,
Bering Sea,Cluster 2,all,2015,all,,381,Up/Mid Yukon,NA,0.018,0.009,0.005,0.017,0.039,1,
Bering Sea,Cluster 2,Early,2015,all,5712,186,E GOA/PNW,NA,0.137,0.03,0.083,0.135,0.2,1,
Bering Sea,Cluster 2,Early,2015,all,5712,186,NE Asia,NA,0.469,0.045,0.381,0.469,0.557,1,
Bering Sea,Cluster 2,Early,2015,all,5712,186,SE Asia,NA,0.188,0.032,0.129,0.187,0.254,1,
Bering Sea,Cluster 2,Early,2015,all,5712,186,SW Alaska,NA,0.033,0.019,0.006,0.031,0.076,1,
